depths	NGAM
10.54	31.01227347
10.55	31.96788684
10.56	31.21730583
10.57	31.55872535
10.58	30.9445315
10.59	28.07859459
10.6	29.03420797
10.61	27.49511043
10.62	30.36014411
10.63	29.99704716
10.64	31.29317683
10.65	32.24788698
10.66	31.56595116
10.67	29.24646614
10.68	27.81304607
10.69	27.60891694
10.7	28.56362709
10.71	28.56362709
10.72	27.13111025
10.73	27.40388458
10.74	27.88169127
10.75	28.49588512
10.76	29.04143378
10.77	28.56362709
10.78	28.08672363
10.79	26.1764001
10.8	26.33536792
10.81	24.15227006
10.82	20.80852647
10.83	22.24194653
10.84	21.76413984
10.85	20.331623
10.86	20.331623
10.87	20.60439733
10.88	21.08220402
10.89	22.03691417
10.9	21.55910748
10.91	22.51472086
10.92	21.90052701
10.93	22.44607566
10.94	22.92388235
10.95	23.40168904
10.96	23.87949573
10.97	23.40168904
10.98	25.03923824
10.99	25.99394839
11	25.51614171
11.01	26.47175508
11.02	28.17704625
11.03	27.2223361
11.04	26.47175508
11.05	26.47175508
11.06	26.47175508
11.07	25.5847869
11.08	23.67446337
11.09	25.10698021
11.1	25.92620642
11.11	25.65252887
11.12	26.60814225
11.13	25.65252887
11.14	25.65252887
11.15	24.90285108
11.16	25.37975454
11.17	26.81317461
11.18	28.24569145
11.19	26.53949705
11.2	27.1536909
11.21	26.81317461
11.22	26.33536792
11.23	25.27407707
11.24	27.1157554
11.25	28.88969177
11.26	27.93498162
11.27	28.20775594
11.28	27.66220729
11.29	25.75188376
11.3	24.79627038
11.31	24.31846369
11.32	23.43149551
11.33	23.63652787
11.34	21.56723652
11.35	19.1791063
11.36	19.24684827
11.37	19.1104611
11.38	18.49717048
11.39	17.5415571
11.4	17.96607344
11.41	16.12439511
11.42	14.48684591
11.43	16.80633093
11.44	17.01136329
11.45	17.01136329
11.46	18.1711058
11.47	19.12581595
11.48	19.60362264
11.49	20.96839751
11.5	20.96839751
11.51	22.55988217
11.52	24.81162522
11.53	24.74298003
11.54	25.22078672
11.55	25.83498057
11.56	28.22311079
11.57	28.58711097
11.58	28.51846578
11.59	27.90427192
11.6	26.53949705
11.61	25.24336738
11.62	26.88091658
11.63	26.67678744
11.64	29.06401443
11.65	30.01962781
11.66	29.74685348
11.67	29.06401444
11.68	27.6314976
11.69	25.85756123
11.7	26.47175508
11.71	25.99394839
11.72	27.29007807
11.73	26.33536792
11.74	24.69781872
11.75	25.31201257
11.76	25.78981926
11.77	26.06259359
11.78	26.40310989
11.79	25.31201257
11.8	26.74452941
11.81	23.87949573
11.82	25.31201257
11.83	25.85756123
11.84	27.76788476
11.85	27.42646523
11.86	28.38207861
11.87	31.11072513
11.88	32.33911283
11.89	32.33911284
11.9	31.86130615
11.91	32.95330669
11.92	34.72724305
11.93	35.20414652
