DEPTH	NGAM
18.67	16.16
18.68	15.52
18.69	14.87
18.7	14.59
18.71	14.3
18.72	14.01
18.73	13.73
18.74	13.44
18.75	13.16
18.76	12.87
18.77	12.58
18.78	12.94
18.79	14.01
18.8	15.09
18.81	16.16
18.82	17.23
18.83	18.3
18.84	19.38
18.85	20.45
18.86	21.52
18.87	22.24
18.88	21.88
18.89	21.52
18.9	21.16
18.91	20.81
18.92	20.45
18.93	20.09
18.94	19.73
18.95	19.38
18.96	18.3
18.97	17.23
18.98	16.16
18.99	15.09
19	14.01
19.01	12.94
19.02	11.87
19.03	10.8
19.04	9.72
19.05	9.72
19.06	10.01
19.07	10.3
19.08	10.58
19.09	10.87
19.1	11.15
19.11	11.44
19.12	11.73
19.13	12.01
19.14	12.3
19.15	12.3
19.16	12.3
19.17	12.3
19.18	12.3
19.19	12.3
19.2	12.3
19.21	12.3
19.22	12.3
19.23	12.01
19.24	12.37
19.25	12.73
19.26	13.08
19.27	13.44
19.28	13.8
19.29	14.16
19.3	14.51
19.31	14.87
19.32	15.52
19.33	16.02
19.34	16.52
19.35	17.02
19.36	17.52
19.37	18.02
19.38	18.52
19.39	19.02
19.4	19.52
19.41	19.38
19.42	18.88
19.43	18.38
19.44	17.88
19.45	17.37
19.46	16.87
19.47	16.37
19.48	15.87
19.49	15.37
19.5	15.02
19.51	15.3
19.52	15.59
19.53	15.87
19.54	16.16
19.55	16.45
19.56	16.73
19.57	17.02
19.58	17.3
19.59	17.95
19.6	18.38
19.61	18.8
19.62	19.23
19.63	19.66
19.64	20.09
19.65	20.52
19.66	20.95
19.67	21.38
19.68	21.16
19.69	20.66
19.7	20.16
19.71	19.66
19.72	19.16
19.73	18.66
19.74	18.16
19.75	17.66
19.76	17.16
19.77	16.87
19.78	17.09
19.79	17.3
19.8	17.52
19.81	17.73
19.82	17.95
19.83	18.16
19.84	18.38
19.85	18.59
19.86	19.09
19.87	19.09
19.88	19.09
19.89	19.09
19.9	19.09
19.91	19.09
19.92	19.09
19.93	19.09
19.94	19.09
19.95	18.59
19.96	18.09
19.97	17.66
19.98	17.23
19.99	16.8
20	16.37
20.01	15.94
20.02	15.52
20.03	15.09
20.04	15.16
20.05	15.23
20.06	14.59
20.07	13.94
20.08	13.3
20.09	12.66
20.1	12.01
20.11	11.37
20.12	10.73
20.13	10.08
20.14	9.37
20.15	8.94
20.16	8.51
20.17	8.08
20.18	7.65
20.19	7.22
20.2	6.79
20.21	6.36
20.22	5.93
20.23	6.22
20.24	6.72
20.25	7.22
20.26	7.72
20.27	8.22
20.28	8.72
20.29	9.22
20.3	9.72
20.31	10.22
20.32	10.44
20.33	10.65
20.34	10.87
20.35	11.08
20.36	11.3
20.37	11.51
20.38	11.73
20.39	11.94
20.4	12.16
20.41	12.16
20.42	12.3
20.43	12.44
20.44	12.58
20.45	12.73
20.46	12.87
20.47	13.01
20.48	13.16
20.49	13.3
20.5	13.44
20.51	13.16
20.52	12.87
20.53	12.58
20.54	12.3
20.55	12.01
20.56	11.73
20.57	11.44
20.58	11.15
20.59	10.73
20.6	10.58
20.61	10.44
20.62	10.3
20.63	10.15
20.64	10.01
20.65	9.87
20.66	9.72
20.67	9.58
20.68	9.87
20.69	9.94
20.7	10.01
20.71	10.08
20.72	10.15
20.73	10.22
20.74	10.3
20.75	10.37
20.76	10.44
20.77	10.22
20.78	10.37
20.79	10.51
20.8	10.65
20.81	10.8
20.82	10.94
20.83	11.08
20.84	11.23
20.85	11.37
20.86	11.73
20.87	11.94
20.88	12.16
20.89	12.37
20.9	12.58
20.91	12.8
20.92	13.01
20.93	13.23
20.94	13.44
20.95	13.3
20.96	12.87
20.97	12.44
20.98	12.01
20.99	11.58
21	11.15
21.01	10.73
