Depth	Gamma								
64	136.1								
64	136.1								
64.1	136.1								
64.1	136.1								
64.1	136.1								
64.1	136.1								
64.2	136.1								
64.3	136.1								
64.3	134.6								
64.3	133.1								
64.4	132.3								
64.5	130.1								
64.6	129.3								
64.6	130.8								
64.7	131.6								
64.8	131.6								
64.8	131.6								
64.9	130.8								
65	130.8								
65.1	128.6								
65.1	128.6								
65.1	127.8								
65.1	125.5								
65.1	124.8								
65.2	124.8								
65.3	124								
65.4	127								
65.5	127.8								
65.5	127.8								
65.6	125.5								
65.6	125.5								
65.8	124.8								
65.9	124.8								
65.9	124.8								
65.9	125.5								
65.9	126.3								
66	127.8								
66	127.8								
66.1	127.8								
66.2	127								
66.2	126.3								
66.3	125.5								
66.5	126.3								
66.6	128.6								
66.7	131.6								
66.9	134.6								
67	136.9								
67.1	138.4								
67.2	138.4								
67.2	136.9								
67.2	134.6								
67.4	132.3								
67.4	130.1								
67.5	128.6								
67.5	128.6								
67.6	127								
67.6	126.3								
67.7	125.5								
67.7	125.5								
67.8	124								
68	124.8								
68	125.5								
68	127								
68	127.8								
68.3	131.6								
68.3	132.3								
68.5	135.4								
68.5	138.4								
68.5	139.2								
68.6	139.9								
68.7	139.9								
68.7	139.9								
68.8	138.4								
68.9	136.9								
69	135.4								
69.1	136.9								
69.2	136.9								
69.2	136.1								
69.3	133.1								
69.4	131.6								
69.4	130.1								
69.5	127.8								
69.7	124								
69.8	124.8								
69.8	125.5								
70	128.6								
70	128.6								
70	131.6								
70	133.1								
70	134.6								
70.1	136.9								
70.2	137.7								
70.3	136.9								
70.4	135.4								
70.4	135.4								
70.6	137.7								
70.7	139.2								
70.8	139.2								
70.8	136.1								
70.9	133.1								
71	132.3								
71	130.1								
71	129.3								
71	128.6								
71	128.6								
71	128.6								
71	127.8								
71	127								
71.2	125.5								
71.3	127								
71.4	128.6								
71.4	130.1								
71.4	130.8								
71.5	130.8								
71.5	130.1								
71.5	130.1								
71.7	129.3								
71.8	130.8								
71.9	135.4								
71.9	137.7								
72.2	140.7								
72.2	143								
72.2	143								
72.3	139.2								
72.4	138.4								
72.4	137.7								
72.4	136.9								
72.5	135.4								
72.6	133.1								
72.8	131.6								
72.9	130.8								
73.1	134.6								
73.2	136.9								
73.3	139.2								
73.4	139.9								
73.5	139.9								
73.5	139.2								
73.5	137.7								
73.5	136.1								
73.5	135.4								
73.6	135.4								
73.7	136.9								
73.9	138.4								
73.9	138.4								
74	138.4								
74.1	136.9								
74.2	136.1								
74.4	135.4								
74.5	136.9								
74.7	139.2								
74.7	139.9								
74.8	139.9								
74.8	139.9								
74.8	139.9								
74.9	137.7								
74.9	137.7								
75.1	136.1								
75	134.6								
75.2	132.3								
75.2	131.6								
75.3	131.6								
75.4	128.6								
75.5	128.6								
75.5	128.6								
75.4	129.3								
75.5	130.1								
75.6	130.1								
75.6	133.9								
75.6	135.4								
75.7	139.2								
75.8	141.4								
75.9	143								
75.9	143								
76	142.2								
76	141.4								
76.1	141.4								
76.2	141.4								
76.3	142.2								
76.4	142.2								
76.5	145.2								
76.6	146.8								
76.6	146.8								
76.7	145.2								
76.8	142.2								
76.9	138.4								
76.9	133.1								
77	130.1								
77	129.3								
77	127.8								
77.1	127								
77.2	126.3								
77.4	124.8								
77.5	127								
77.5	130.8								
77.7	132.3								
77.8	132.3								
77.9	136.9								
77.9	138.4								
78	139.2								
78.2	137.7								
78.3	135.4								
78.4	133.9								
78.6	133.9								
78.7	136.1								
78.9	136.9								
79	136.9								
79.1	135.4								
79.1	135.4								
79.1	133.9								
79.2	132.3								
79.3	130.8								
79.3	130.1								
79.5	133.1								
79.6	133.1								
79.7	130.8								
79.7	130.1								
79.8	127.8								
79.8	124.8								
80	123.2								
80	124								
80.1	124								
80.1	124								
80.3	127.8								
80.3	129.3								
80.4	130.8								
80.6	135.4								
80.7	138.4								
80.9	139.2								
80.9	139.9								
81	138.4								
81.1	134.6								
81.1	133.1								
81.2	132.3								
81.4	134.6								
81.5	134.6								
81.6	134.6								
81.7	133.1								
81.9	131.6								
82.1	130.1								
82.3	128.6								
82.5	126.3								
82.5	125.5								
82.5	125.5								
82.6	124.8								
82.7	124.8								
82.7	125.5								
