Depth	Gamma
146.2	89.1
146.3	89.7
146.5	91.3
146.6	94
146.5	95.6
146.5	96.2
146.6	96.2
146.7	95.1
146.8	94
147	92.4
147	90.7
147.1	89.7
147.1	89.1
147.2	87
147.2	85.9
147.2	84.3
147.2	82.6
147.3	82.6
147.5	81.6
147.5	82.6
147.5	84.3
147.7	87
147.7	89.1
147.9	90.7
147.9	90.7
147.9	90.7
148.1	91.3
148.3	91.3
148.3	91.3
148.6	94
148.6	95.1
148.7	95.6
148.7	94.5
148.7	93.4
148.8	91.3
148.9	90.2
149	89.1
149	89.1
149.1	90.7
149.1	89.7
149.2	88
149.3	87.5
149.4	88
149.6	90.7
149.6	91.3
149.6	88
149.7	86.4
149.8	85.9
149.9	84.3
150	83.2
150.1	81
150.1	78.8
150.2	77.8
150.3	76.7
150.3	78.8
150.4	82.6
150.4	83.7
150.5	86.4
150.4	87
150.4	88
150.4	88.6
150.4	90.7
150.5	91.3
150.5	92.4
150.5	93.4
150.7	93.4
150.9	94
150.9	94
151	94.5
151	95.1
151.2	93.4
151.4	90.7
151.5	89.1
151.6	88.6
151.7	86.4
151.8	85.9
151.9	85.9
151.9	87.5
152	86.4
152	85.9
152.1	84.3
152.1	82.6
152.3	82.6
152.3	82.6
152.4	83.2
152.5	84.3
152.5	84.3
152.6	85.9
152.7	87.5
152.8	88
152.8	84.8
152.9	83.2
153.1	86.4
153.2	87
153.3	86.4
153.3	86.4
153.5	85.9
153.5	84.3
153.6	82.6
153.7	82.6
153.8	84.8
153.8	85.9
153.8	86.4
153.9	88.6
153.9	89.1
154	90.7
154	91.8
154	91.8
154.2	90.2
154.3	88.6
154.3	87
154.4	85.3
154.4	83.7
154.4	83.7
154.6	83.7
154.6	83.7
154.7	85.9
154.8	87
154.9	88
154.9	89.1
154.9	91.3
155	91.8
155.1	90.7
155.2	90.2
155.2	89.7
155.2	91.3
155.2	92.4
155.3	93.4
155.4	94
155.4	94
155.4	94.5
155.5	94.5
155.5	91.8
155.6	89.1
155.7	90.7
155.7	91.8
155.7	92.4
155.8	93.4
155.9	94.5
155.9	96.2
155.9	97.2
155.9	99.4
155.9	99.4
156.1	101
156.1	102.1
156.1	102.6
156.1	103.2
156.2	104.3
156.2	104.3
156.2	104.8
156.3	104.8
156.4	104.8
156.5	102.6
156.5	102.1
156.6	98.3
156.6	97.8
156.6	95.6
156.7	93.4
156.7	91.8
156.8	89.7
156.8	88
156.9	85.9
156.9	84.3
157.1	86.4
157.1	88.6
157.2	89.1
157.3	90.2
157.6	92.9
157.6	93.4
157.6	94
157.7	94.5
157.8	95.6
157.8	96.2
157.8	96.7
157.9	96.7
158	96.2
158.1	94.5
158.3	94.5
158.3	97.2
158.4	99.4
158.4	99.4
158.5	98.9
158.5	97.2
158.5	97.2
158.6	96.7
158.7	96.7
158.8	98.3
158.8	100.5
158.9	101
159	99.9
159.1	97.8
159.2	97.8
159.3	97.2
159.4	94
159.5	92.4
159.5	91.8
159.5	90.7
159.6	90.7
159.7	90.7
159.8	90.2
159.8	89.1
160	87.5
160.1	89.7
160.3	88
160.5	87
160.5	87.5
160.7	88.6
160.9	89.1
160.9	89.1
161.1	90.2
161.1	91.3
161.3	94
161.3	94.5
161.4	97.2
161.5	99.4
161.5	99.9
161.6	101.6
161.7	104.3
161.9	105.3
161.9	105.9
161.9	106.4
162	104.3
162.1	101.6
162.1	100.5
162.1	100.5
162.2	97.8
162.2	97.8
162.3	96.2
162.4	95.1
162.6	97.2
162.7	98.9
162.8	100.5
162.8	100.5
162.8	101
163	100.5
163	100.5
163	99.9
163	99.4
163.2	98.9
163.2	97.8
163.2	97.2
163.2	96.7
163.3	95.6
163.3	95.1
163.4	94.5
163.5	94.5
163.6	95.6
163.6	95.6
163.7	93.4
163.7	92.4
163.7	92.4
163.9	92.9
163.9	92.4
164.1	89.7
164.2	88
164.1	88
164.1	88
164.1	86.4
164.2	85.3
164.3	83.7
164.3	82.1
164.4	80.5
164.5	79.4
164.5	79.4
164.7	81.6
164.8	84.3
165.1	89.1
164.7	85.9
164.8	89.1
164.9	89.7
165	91.3
165.1	92.9
165.2	95.1
165.2	95.6
165.2	97.2
165.2	98.3
165.3	100.5
165.5	100.5
165.5	101
165.5	101.6
165.6	102.6
165.8	103.2
165.8	103.2
165.9	103.2
166	101.6
166	101
166	98.3
166.1	95.6
166.2	93.4
166.3	91.8
166.3	90.2
166.4	89.1
166.4	89.1
166.4	88
166.4	86.4
166.5	86.4
166.5	87.5
166.6	91.3
166.7	95.1
166.8	97.2
166.9	98.9
167	101.6
167	103.2
167.1	99.9
167.2	98.3
167.2	97.8
167.2	96.7
167.4	95.1
167.4	94.5
167.4	93.4
167.5	92.9
167.5	91.8
167.6	89.7
167.6	89.7
167.6	89.7
167.7	90.2
167.7	90.7
167.9	92.4
168	94
168	95.6
168	96.2
168.1	97.8
168.1	98.3
168.1	98.9
168.2	99.9
168.2	99.9
168.3	99.9
168.3	99.9
168.5	99.9
168.5	99.9
168.6	98.3
168.6	96.7
168.7	96.7
168.7	97.8
168.7	97.8
168.7	98.9
168.7	98.9
168.8	98.3
168.8	98.3
169	97.8
169	97.8
169.1	99.4
169.1	99.9
169.1	99.9
169.2	98.9
169.3	96.7
169.3	95.6
169.5	95.6
169.5	96.2
169.6	97.8
