Depth	Gamma
628.8	45.8
628.9	38.8
629.2	33.5
629.4	39.4
629.6	44.2
629.8	52.3
630.1	64.1
630.3	78.5
630.5	68.3
630.9	78
631.2	71.6
631.6	79.6
631.9	76.9
632.2	79.6
632.7	74.8
633.1	76.9
633.3	70
633.7	60.3
634.2	66.2
634.6	61.9
634.9	68.9
635.1	73.7
635.7	66.2
635.8	72.6
636.1	79.6
636.3	76.4
636.5	72.1
636.7	67.3
636.9	70.5
637.1	64.6
637.4	58.2
637.5	67.8
637.9	77.5
638.2	72.1
638.4	70.5
638.7	63
638.8	59.8
639.1	72.1
639.4	83.4
639.9	75.9
640.3	87.7
640.4	83.9
640.6	85
640.9	78
641.5	75.9
642	88.7
642.4	76.9
642.9	81.2
643.1	83.4
643.3	93.6
643.7	100
644.2	109.7
644.6	93.6
644.9	82.3
645.1	72.1
645.5	76.9
645.9	68.3
646.3	91.4
