Depth	Gamma
120.2	82.2
120.2	79.6
120.2	78.6
120.4	77.1
120.5	76.6
120.8	80.2
120.9	83.2
121	86.3
121	89.4
121.1	91.4
121.2	92
121.3	91.4
121.3	90.4
121.4	87.3
121.5	85.8
121.6	85.8
121.7	86.8
121.8	87.3
121.9	89.4
122.1	89.9
122.2	90.9
122.3	94.5
122.4	98.1
122.5	100.2
122.6	101.7
122.6	101.7
122.7	101.2
122.7	99.7
122.8	99.7
122.9	100.2
123.1	101.2
123.1	101.7
123.3	102.2
123.3	101.2
123.4	99.1
123.6	97.1
124	97.6
124.1	98.1
124.2	99.1
124.2	100.2
124.3	101.7
124.3	103.2
124.3	104.8
124.3	107.3
124.3	107.9
124.3	107.9
124.3	109.9
124.5	111.4
124.6	113.5
124.6	114
124.7	114.5
124.8	114
124.9	113.5
124.9	110.9
125	109.4
125	108.4
125	106.3
125	103.8
125.1	102.7
125.3	99.7
125.3	99.1
125.4	97.6
125.5	96.6
125.5	96.6
125.5	95
125.7	94.5
125.7	94.5
125.7	94.5
125.9	96.1
125.9	97.1
126	98.1
126.1	97.1
126.1	97.1
126.2	96.1
126.3	94
126.3	93
126.3	93
126.3	93
126.3	95.5
126.5	97.6
126.5	98.1
126.6	100.2
126.6	101.2
126.6	102.2
126.7	103.2
126.8	103.8
126.9	103.8
126.9	103.8
126.9	102.2
127	101.7
127.1	101.7
127.1	103.2
127.2	103.2
127.2	103.8
127.3	103.8
127.3	101.2
127.4	101.2
127.5	102.7
127.6	103.8
127.6	103.8
127.7	103.8
127.7	102.2
127.8	100.2
128	96.6
128	96.6
128	94.5
128.1	92.5
128.2	92
128.3	90.9
128.4	89.4
128.6	90.9
128.7	94.5
128.7	97.6
128.7	98.1
128.8	102.2
128.9	105.3
128.9	106.8
129	107.3
129.1	105.8
129.1	105.3
129.3	105.8
129.3	106.8
129.4	108.4
129.4	109.4
129.5	110.4
129.5	111.4
129.6	112
129.7	112.5
129.8	111.4
129.8	108.9
129.9	107.9
130	107.9
130	108.4
130	109.4
130	109.4
130.1	109.4
130.2	108.4
