Depth	Gamma
174.3	100.4
174.5	100.4
174.6	99.8
174.7	99.8
174.7	99.8
174.9	98.6
175	98.6
175.1	100.4
175.2	101.6
175.4	104.6
175.4	104.6
175.5	106.4
175.6	107
175.6	107
175.7	106.4
175.9	105.8
175.9	105.2
176	104.6
176.1	104.6
176.2	106.4
176.4	109.4
176.4	109.4
176.4	109.4
176.5	109.4
176.6	108.8
176.7	108.8
176.7	108.8
176.9	108.8
177	108.8
177.1	108.8
177.2	108.8
177.3	108.8
177.3	108.2
177.5	109.4
177.6	112.9
177.6	114.1
177.7	112.3
177.8	109.4
177.9	107.6
178	105.2
178.3	105.8
178.4	108.8
178.5	108.8
178.5	106.4
178.6	105.8
178.7	104.6
178.8	102.2
179	101.6
179	101.6
179.1	101.6
179.2	104.6
179.3	107
179.4	108.8
179.4	110.6
179.6	110.6
179.7	110.6
179.8	108.8
179.8	105.8
179.9	102.8
180	101.6
180.2	101
180.4	104
180.6	105.8
180.6	106.4
180.8	106.4
180.9	108.2
180.9	111.1
180.9	111.7
181	114.1
181.1	114.7
181.1	114.7
181.2	114.7
181.4	115.3
181.6	114.1
181.6	112.9
181.7	111.7
181.9	112.3
182.3	112.9
182.3	112.9
182.5	114.1
182.6	117.1
182.7	118.9
182.7	119.5
182.9	119.5
183	119.5
183.2	115.9
183.3	112.3
183.3	110.6
183.3	108.8
183.4	105.8
183.4	103.4
183.5	102.8
183.5	102.2
183.6	105.2
183.7	105.8
184	105.8
184.2	105.2
184.2	104
184.3	103.4
184.4	102.8
184.5	102.8
184.6	106.4
184.7	108.2
184.7	110.6
184.9	110.6
184.9	108.8
185	108.2
185	108.2
185.1	108.8
185.2	108.2
185.3	106.4
185.3	106.4
185.4	105.2
185.6	103.4
185.6	103.4
185.6	103.4
185.8	106.4
185.8	108.8
186	108.8
186	107.6
186.1	107.6
186.1	108.2
186.2	109.4
186.4	109.4
186.4	108.2
186.4	107
186.4	105.2
186.4	104
186.4	104
186.5	102.8
186.6	102.8
186.6	102.8
186.7	105.2
186.7	107
186.8	108.2
186.8	108.8
186.9	110.6
186.9	111.1
187	112.3
187.2	115.3
187.2	115.9
187.3	117.1
187.4	118.3
187.5	120.7
187.6	121.3
187.8	121.3
187.9	118.3
187.9	115.3
188	111.7
188.1	110.6
188.1	108.8
188.2	107
188.2	105.2
188.3	104
188.4	102.8
188.5	101.6
188.6	100.4
188.7	100.4
188.8	102.2
188.8	104
188.9	106.4
189	107.6
189.1	108.2
189.2	108.2
189.3	109.4
189.4	111.1
189.4	112.9
189.5	114.7
189.6	115.9
189.6	116.5
189.7	117.1
189.8	118.9
189.9	119.5
190	119.5
190.1	117.7
190.1	117.7
190.1	120.7
190.3	122.5
190.3	122.5
190.4	123.1
190.5	123.1
190.5	117.1
190.5	115.9
190.6	113.5
190.6	113.5
190.8	112.3
190.8	111.7
190.9	111.7
190.9	111.1
190.9	110
191	108.2
191.1	107
191.1	105.8
191.1	105.2
191.1	104.6
191.1	102.2
191.1	101.6
191.2	100.4
191.3	100.4
191.4	102.2
191.6	104.6
191.8	105.2
191.9	105.2
191.9	108.8
191.9	110.6
192.1	112.3
192.2	114.1
192.3	115.9
192.5	117.1
192.6	118.3
192.7	120.1
192.8	120.7
192.8	120.7
