"Row","Depth","RES","RES Color","Top Names","Top Depth","Top Color"
"503","107.4","12.3","","","",""
"504","107.6","10.1","","","",""
"505","107.8","9.5","","","",""
"506","108","9.2","","","",""
"507","108.3","9.8","","","",""
"508","108.3","10.1","","","",""
"509","108.5","10.4","","","",""
"510","108.7","10.8","","","",""
"511","108.7","11.1","","","",""
"512","108.9","11.1","","","",""
"513","109.1","10.8","","","",""
"514","109.3","10.5","","","",""
"515","109.3","9.5","","","",""
"516","109.6","9.5","","","",""
"517","109.8","9.5","","","",""
"518","110","9.8","","","",""
"519","110.2","9.8","","","",""
"520","110.2","10.4","","","",""
"521","110.5","10.8","","","",""
"522","110.5","11.1","","","",""
"523","110.9","11.9","","","",""
"524","110.9","12.3","","","",""
"525","110.9","12.7","","","",""
"526","110.9","13.1","","","",""
"527","111.3","13.1","","","",""
"528","111.5","13.1","","","",""
"529","111.5","12.3","","","",""
"530","111.5","12","","","",""
"531","112","11.2","","","",""
"532","112.2","11.2","","","",""
"533","112.2","11.5","","","",""
"534","112.2","11.9","","","",""
"535","112.2","11.9","","","",""
"536","112.8","11.9","","","",""
"537","112.8","10.8","","","",""
"538","113.1","10.5","","","",""
"539","113.1","9.2","","","",""
"540","113.1","10.1","","","",""
"541","113.1","10.4","","","",""
"542","113.1","10.8","","","",""
"543","113.3","11.1","","","",""
"544","113.3","11.1","","","",""
"545","113.5","10.8","","","",""
"546","113.5","10.5","","","",""
"547","113.5","10.1","","","",""
"548","113.5","9.9","","","",""
"549","113.5","9.2","","","",""
"550","114.2","8.9","","","",""
"551","114.2","8.9","","","",""
"552","114.2","10.4","","","",""
"553","114.4","10.4","","","",""
"554","114.4","10.8","","","",""
"555","114.4","11.1","","","",""
"556","114.6","10.8","","","",""
"557","114.8","10.1","","","",""
"558","115","10.8","","","",""
"559","115","11.5","","","",""
"560","115.3","11.5","","","",""
"561","115.7","11.2","","","",""
"562","115.9","10.8","","","",""
"563","115.9","10.5","","","",""
"564","116.2","10.5","","","",""
"565","116.8","11.1","","","",""
"566","117","11.5","","","",""
"567","117","11.5","","","",""
"568","117.5","10.5","","","",""
"569","117.5","10.1","","","",""
"570","117.5","9.5","","","",""
"571","117.5","9.2","","","",""
"572","117.5","9.2","","","",""
"573","117.5","8.9","","","",""
"574","117.7","8.9","","","",""
"575","117.9","8.9","","","",""
"576","118.1","10.1","","","",""
"577","118.4","10.4","","","",""
"578","118.5","10.4","","","",""
"579","118.8","9.9","","","",""
"580","118.8","9.5","","","",""
"581","119","9.8","","","",""
"582","119.4","10.1","","","",""
"583","119.7","10.4","","","",""
"584","120.1","10.1","","","",""
"585","120.1","9.5","","","",""
"586","120.3","9.2","","","",""
"587","120.3","8.9","","","",""
"588","120.5","8.9","","","",""
"589","120.7","9.5","","","",""
"590","120.7","10.1","","","",""
"591","121","10.8","","","",""
"592","121.2","9.9","","","",""
"593","121.2","8.9","","","",""
"594","121.2","8.4","","","",""
"595","121.4","7.8","","","",""
"596","121.4","7.8","","","",""
"597","121.6","7.8","","","",""
"598","121.9","8.1","","","",""
"599","121.9","8.6","","","",""
"600","121.9","9.8","","","",""
"601","122.1","9.8","","","",""
"602","122.3","10.4","","","",""
"603","122.3","10.4","","","",""
"604","122.5","10.8","","","",""
"605","122.5","10.8","","","",""
"606","122.5","10.5","","","",""
