X,Y,MD,Surface,Well
1675330,6352841,340.09,Ireviken peak 2,Nyudden-1
1675330,6352841,343.35,Ireviken peak 1,Nyudden-1
1675330,6352841,380.42,base telychian,Nyudden-1
1675330,6352841,390.83,base silurian,Nyudden-1
1675330,6352841,347.48,base Ireviken,Nyudden-1
1673659,6352678,210,2ndmulde,Nyudden-2
1675330,6352841,0,0m,Nyudden-1
1673659,6352678,243.04,Mulde,Nyudden-2
1673659,6352678,361.02,mid telychian unconformity?,Nyudden-2
1673659,6352678,121.18,linde?,Nyudden-2
1673659,6352678,31.69,Lau,Nyudden-2
1673659,6352678,309.23,Ireviken peak 7,Nyudden-2
1673659,6352678,313.78,Ireviken peak 6,Nyudden-2
1673659,6352678,318.12,Ireviken peak 5,Nyudden-2
1673659,6352678,322.03,Ireviken peak 4,Nyudden-2
1673659,6352678,326.91,Ireviken peak 3,Nyudden-2
1673659,6352678,330.6,Ireviken peak 2,Nyudden-2
1673659,6352678,334.39,Ireviken peak 1,Nyudden-2
1673659,6352678,371.37,base telychian,Nyudden-2
1673659,6352678,380.45,base silurian,Nyudden-2
1673659,6352678,338.7,base Ireviken,Nyudden-2
1673659,6352678,0,0m,Nyudden-2
1657840,6343430,208,2ndmulde,Ostris-1
1657840,6343430,240.3,Mulde,Ostris-1
1657840,6343430,341.65,mid telychian unconformity?,Ostris-1
1657840,6343430,129.14,linde?,Ostris-1
1657840,6343430,28.92,Lau,Ostris-1
1657840,6343430,291.45,Ireviken peak 7,Ostris-1
1657840,6343430,301,Ireviken peak 6,Ostris-1
1657840,6343430,307.29,Ireviken peak 5,Ostris-1
1657840,6343430,310.98,Ireviken peak 4,Ostris-1
1657840,6343430,316.19,Ireviken peak 3,Ostris-1
1657840,6343430,318.9,Ireviken peak 2,Ostris-1
1657840,6343430,321.75,Ireviken peak 1,Ostris-1
1657840,6343430,347.83,base telychian,Ostris-1
1657840,6343430,355.32,base silurian,Ostris-1
1657840,6343430,325.7,base Ireviken,Ostris-1
1657840,6343430,0,0m,Ostris-1
